AutoNum,playerID,birthyear,yearID,salary,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,SF,SH,HBP,IBB
164,clemema01,1974,2006,9825000,1,BOS,AL,12,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
165,coffeto01,1980,2006,339000,1,CIN,NL,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,colomje01,1977,2006,815000,1,TBA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,colonba01,1973,2006,14000000,1,LAA,AL,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
168,coninje01,1966,2006,1700000,1,BAL,AL,114,389,43,103,20,3,9,49,3,2,35,53,12,5,1,2,2
169,coninje01,1966,2006,1700000,2,PHI,NL,28,100,11,28,6,1,1,17,0,0,5,12,1,0,0,2,2
170,contrjo01,1971,2006,9500000,1,CHA,AL,30,4,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
171,cookaa01,1979,2006,1250000,1,COL,NL,32,58,1,3,0,0,0,0,0,0,4,21,0,0,13,0,0
172,coraal01,1975,2006,1400000,1,BOS,AL,96,235,31,56,7,2,1,18,6,2,19,29,4,0,4,6,1
173,cordech01,1982,2006,525000,1,WAS,NL,68,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174,cordefr01,1975,2006,4125000,1,TEX,AL,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,cordefr01,1975,2006,4125000,2,MIL,NL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,cormila01,1980,2006,345000,1,ATL,NL,29,12,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0
177,cormirh01,1967,2006,2500000,1,PHI,NL,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,cormirh01,1967,2006,2500000,2,CIN,NL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,corteda01,1973,2006,350000,1,COL,NL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,costash01,1981,2006,327500,1,KCA,AL,72,237,23,65,20,1,3,23,2,0,6,29,5,2,2,5,2
181,cotahu01,1979,2006,342000,1,PIT,NL,38,100,5,19,1,0,0,5,0,0,8,26,3,1,1,0,0
182,cottsne01,1980,2006,400000,1,CHA,AL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,counscr01,1970,2006,1750000,1,ARI,NL,105,372,56,95,14,4,4,30,15,8,31,47,1,1,2,9,0
184,crainje01,1981,2006,361000,1,MIN,AL,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,crawfca02,1981,2006,2625000,1,TBA,AL,151,600,89,183,20,16,18,77,58,9,37,85,8,2,9,4,3
186,credejo01,1978,2006,2675000,1,CHA,AL,150,544,76,154,31,0,30,94,0,2,28,58,18,7,0,7,1
187,crispco01,1979,2006,2750000,1,BOS,AL,105,413,58,109,22,2,8,36,22,4,31,67,5,0,7,1,1
188,crosbbo01,1980,2006,800000,1,OAK,AL,96,358,42,82,12,0,9,40,8,1,36,76,11,2,2,0,1
189,crosbbu01,1976,2006,354250,1,NYA,AL,65,87,9,18,3,1,1,6,3,1,4,21,0,0,3,2,0
190,cruzjo02,1974,2006,2910000,1,LAN,NL,86,223,34,52,16,1,5,17,5,1,43,54,3,3,4,0,2
191,cruzju02,1978,2006,575000,1,ARI,NL,31,21,0,0,0,0,0,0,0,0,3,9,1,0,2,0,0
192,cuddymi01,1979,2006,1300000,1,MIN,AL,150,557,102,158,41,5,24,109,6,0,62,130,11,6,0,10,5
193,damonjo01,1973,2006,13000000,1,NYA,AL,149,593,115,169,35,5,24,80,25,10,67,85,4,5,2,4,1
194,davanje02,1973,2006,525000,1,ARI,NL,87,221,38,64,12,4,5,35,10,4,31,42,6,4,0,0,0
195,davieky01,1983,2006,333500,1,ATL,NL,14,23,1,1,0,0,1,1,0,0,0,8,0,0,1,0,0
196,davisdo02,1975,2006,3200000,1,MIL,NL,34,65,5,3,0,0,0,2,0,0,1,22,0,0,11,1,0
197,dayza01,1978,2006,600000,1,COL,NL,3,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
198,dayza01,1978,2006,600000,2,WAS,NL,5,7,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
199,dejeami01,1970,2006,1150000,1,COL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,dejesda01,1979,2006,500000,1,KCA,AL,119,491,83,145,36,7,8,56,6,3,43,70,10,4,2,12,4
201,delarjo01,1981,2006,337000,1,MIL,NL,18,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
202,delarjo01,1981,2006,337000,2,KCA,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,delgaca01,1972,2006,13500000,1,NYN,NL,144,524,89,139,30,2,38,114,0,0,74,120,12,10,0,10,11
204,delluda01,1973,2006,950000,1,PHI,NL,132,264,41,77,14,5,13,39,1,3,28,62,1,3,0,6,0
205,dempsry01,1977,2006,4333333,1,CHN,NL,74,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
206,denorch01,1980,2006,327000,1,CIN,NL,49,106,14,30,6,0,1,7,1,1,11,21,1,0,2,1,1
207,derosma01,1975,2006,675000,1,TEX,AL,136,520,78,154,40,2,13,74,4,4,44,102,13,2,0,6,1
208,desseel01,1971,2006,1700000,1,KCA,AL,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,desseel01,1971,2006,1700000,2,LAN,NL,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,diazma02,1978,2006,330000,1,ATL,NL,124,297,37,97,15,4,7,32,5,5,11,49,9,4,1,9,3
211,diazvi01,1981,2006,335000,1,NYN,NL,6,11,0,2,1,0,0,2,0,0,0,5,0,0,0,0,0
212,dickera01,1974,2006,380000,1,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,dinarle01,1979,2006,335700,1,BOS,AL,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
214,dohmasc01,1978,2006,333000,1,COL,NL,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
215,dohmasc01,1978,2006,333000,2,KCA,AL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,donnebr01,1971,2006,950000,1,LAA,AL,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,doteloc01,1973,2006,2000000,1,NYA,AL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,doumiry01,1981,2006,333000,1,PIT,NL,61,149,15,31,9,0,6,17,0,0,15,42,3,2,1,11,1
219,downssc01,1976,2006,705000,1,TOR,AL,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,dresery01,1976,2006,1900000,1,WAS,NL,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
221,drewjd01,1975,2006,11400000,1,LAN,NL,146,494,84,140,34,6,20,100,2,3,89,106,4,6,1,4,8
222,duboser01,1976,2006,334000,1,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,duchsju01,1977,2006,344500,1,OAK,AL,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,duffych01,1980,2006,331000,1,PIT,NL,84,314,46,80,14,3,2,18,26,1,19,71,1,1,4,10,1
225,dukeza01,1983,2006,335000,1,PIT,NL,34,68,2,13,3,0,0,7,0,0,1,32,0,0,9,0,0
226,dunnad01,1979,2006,7500000,1,CIN,NL,160,561,99,131,24,0,40,92,7,0,112,194,8,3,1,6,12
